Date,Timestamp,,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (kph),Distance (km),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/km)
2022-01-10,19:08,-05),30,Cycling,Music,30 min Hip Hop Ride,2022-01-09 11:53 (-05),199,110,43%,71,26.38,13.2,433,153.24,,
2022-01-10,19:39,-05),5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,2022-01-10 11:00 (-05),18,59,34%,71,20.81,1.72,60,138.91,,
2022-01-12,18:11,-05),5,Cycling,Warm Up/Cool Down,5 min Warm Up Ride,2022-01-12 11:00 (-05),23,76,32%,83,22.29,1.85,31,70.11,,
2022-01-12,18:16,-05),30,Cycling,Theme,30 min Feel Good Ride,2022-01-09 07:49 (-05),180,100,40%,74,25.77,12.89,439,151.76,,
2022-01-12,18:47,-05),5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,2022-01-11 11:00 (-05),17,58,31%,78,19.94,1.64,67,148.09,,
2022-01-15,15:22,-05),15,Cycling,Power Zone,15 min Intro to Power Zone Ride,2020-12-23 10:00 (-05),80,89,34%,87,24.61,6.15,182,139.33,,
2022-01-15,15:38,-05),20,Cycling,Power Zone,20 min Power Zone Beginner Ride,2021-01-02 09:00 (-05),114,95,35%,87,25.19,8.4,279,151.09,,
2022-01-15,16:01,-05),10,Cycling,Climb,10 min Climb Ride,2022-01-12 12:39 (-05),80,133,57%,54,28.79,4.81,169,170.05,,
2022-01-15,16:17,-05),5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2022-01-15 11:00 (-05),,,,,,,18,139.38,,
2022-01-16,18:44,-05),30,Cycling,Theme,30 min Feel Good Ride,2022-01-16 11:48 (-05),181,100,38%,80,25.83,12.92,428,143.39,,
2022-01-19,18:06,-05),5,Cycling,Warm Up/Cool Down,5 min Warm Up Ride,2022-01-18 16:45 (-05),22,72,31%,86,22.64,1.88,111,204.6,,
2022-01-19,18:12,-05),30,Cycling,Music,30 min Hip Hop Ride,2022-01-19 07:20 (-05),183,102,38%,81,25.85,12.94,419,151.18,,
2022-01-19,18:42,-05),5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,2022-01-18 16:45 (-05),19,62,37%,65,21.21,1.77,57,134.33,,
2022-01-27,17:50,-05),5,Cycling,Warm Up/Cool Down,5 min Warm Up Ride,2021-12-30 03:30 (-05),35,116,40%,79,27.63,2.29,47,67.67,,
2022-01-27,17:55,-05),20,Cycling,Music,20 min EDM Ride,2022-01-25 02:25 (-05),142,119,43%,73,27.44,9.16,290,154.44,,
2022-01-27,18:16,-05),5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,2022-01-26 11:00 (-05),15,51,31%,72,19.25,1.61,53,130.65,,
2022-01-29,14:12,-05),45,Cycling,Theme,45 min Sweat Steady Ride,2022-01-22 09:24 (-05),289,107,41%,75,26.46,19.84,684,158.47,,
2022-02-01,16:23,-05),30,Cycling,Theme,30 min AT's Ride to Greatness,2022-01-31 18:26 (-05),196,109,39%,81,26.17,13.1,462,160.37,,
2022-02-05,16:46,-05),10,Cycling,Power Zone,10 min FTP Warm Up Ride,2021-02-13 12:00 (-05),57,96,33%,93,25.19,4.2,97,115.04,,
2022-02-05,16:57,-05),20,Cycling,Power Zone,20 min FTP Test Ride,2021-02-27 14:00 (-05),171,142,44%,80,30.13,10.04,342,171.27,,
2022-02-05,17:21,-05),10,Cycling,Warm Up/Cool Down,10 min Cool Down Ride,2021-12-23 01:35 (-05),40,66,36%,71,21.52,3.59,126,142.47,,
2022-02-09,16:46,-05),30,Cycling,Power Zone,30 min Power Zone Endurance Hip Hop Ride,2022-02-09 05:54 (-05),179,99,36%,88,25.91,12.97,344,128.86,,
2022-02-11,18:20,-05),30,Cycling,Music,30 min Hip Hop Ride,2022-02-09 08:55 (-05),202,112,40%,80,26.94,13.47,427,144.59,,
2022-02-14,17:07,-05),45,Cycling,Power Zone,45 min Power Zone Ride,2022-02-02 05:52 (-05),277,102,36%,85,25.57,19.18,585,143.12,,
2022-02-16,18:02,-05),5,Cycling,Warm Up/Cool Down,5 min AT's Ride to Greatness: Warm Up,2022-02-03 15:00 (-05),40,132,41%,83,29.05,2.41,69,149.83,,
2022-02-16,18:08,-05),30,Cycling,Theme,30 min AT's Ride to Greatness,2022-02-14 18:23 (-05),211,117,43%,76,27.66,13.84,493,166.75,,
2022-02-19,15:40,-05),10,Cycling,,10 min Lanebreak Ride,,87,146,43%,82,29.97,4.97,119,,,
2022-02-19,15:52,-05),10,Cycling,,10 min Lanebreak Ride,,75,124,43%,77,28.13,4.72,102,,,
2022-02-19,16:03,-05),10,Cycling,,10 min Lanebreak Ride,,68,112,38%,83,26.96,4.54,92,,,
2022-02-19,16:14,-05),5,Cycling,,5 min Lanebreak Ride,,32,106,38%,82,26.34,2.19,43,,,
2022-02-23,18:26,-05),45,Cycling,Power Zone,45 min Power Zone Endurance 90s Ride,2022-02-23 05:54 (-05),275,102,38%,90,26.18,19.65,504,133.42,,
2022-02-27,16:46,-05),60,Cycling,Power Zone,60 min Power Zone Endurance Ride,2022-02-19 07:53 (-05),396,110,39%,92,27.04,27.04,791,146.19,,
2022-02-27,17:48,-05),5,Cycling,,5 min Lanebreak Ride,,39,129,44%,85,28.65,2.38,76,159.52,,
2022-03-01,18:03,-05),10,Strength,Warm Up,10 min Strength-Focus Warm Up,2019-12-10 11:00 (-05),,,,,,,59,,,
2022-03-01,18:16,-05),30,Strength,Upper Body,30 min Upper Body Strength,2019-12-10 11:00 (-05),,,,,,,179,,,
2022-03-01,18:48,-05),10,Stretching,Full Body Stretch,10 min Post-Strength Stretch,2019-12-10 11:10 (-05),,,,,,,29,,,
2022-03-01,19:06,-05),10,Cycling,Intervals,10 min Tabata Ride,2022-02-08 11:00 (-05),80,133,47%,75,28.45,4.75,109,,,
2022-03-05,20:06,-05),5,Cycling,,5 min Lanebreak Ride,,40,135,43%,87,29.08,2.4,54,,,
2022-03-05,20:12,-05),45,Cycling,Power Zone,45 min Power Zone Endurance Hip Hop Ride,2022-03-03 07:23 (-05),299,111,41%,83,27.1,20.33,634,151.94,,
2022-03-05,20:57,-05),5,Cycling,Warm Up/Cool Down,5 min AT's Ride to Greatness: Cool Down,2022-02-03 15:00 (-05),24,81,42%,70,23.72,1.96,65,146.03,,
2022-03-06,15:34,-05),10,Strength,Warm Up,10 min Strength-Focus Warm Up,2019-12-10 11:00 (-05),,,,,,,59,,,
2022-03-06,15:46,-05),30,Strength,Lower Body,30 min Lower Body Strength,2019-12-10 11:10 (-05),,,,,,,176,,,
2022-03-06,16:17,-05),10,Stretching,Full Body Stretch,10 min Post-Strength Stretch,2019-12-10 11:10 (-05),,,,,,,29,,,
2022-03-07,17:00,-05),45,Cycling,Music,45 min 90s Ride,2022-03-07 16:54 (-05),318,118,43%,82,27.62,20.71,643,153.22,,
2022-03-14,17:12,-04),5,Cycling,Warm Up/Cool Down,5 min Warm Up Ride,2022-02-14 12:00 (-04),32,107,38%,88,26.3,2.19,42,115.82,,
2022-03-14,17:18,-04),30,Cycling,Music,30 min EDM Ride,2022-03-09 09:56 (-04),231,128,47%,76,28.52,14.27,425,152.37,,
2022-03-14,17:48,-04),5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,2022-02-17 12:00 (-04),32,107,42%,82,26.63,2.22,68,149.08,,
2022-03-29,18:32,-04),45,Cycling,Power Zone,45 min Power Zone Ride,2022-03-29 14:54 (-04),308,114,42%,83,27.28,20.45,618,149.69,,
2022-04-03,11:19,-04),45,Cycling,Power Zone,45 min Power Zone Ride,2022-03-02 10:50 (-04),307,114,40%,86,27.12,20.34,710,162.73,,
2022-04-05,20:45,-04),45,Cycling,Power Zone,45 min Power Zone Ride,2022-03-30 05:52 (-04),300,111,39%,90,26.86,20.15,524,154.48,,
