Date,Timestamp,,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (kph),Distance (km),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/km)
2021-04-25,18:34,-04),30,Cycling,Music,30 min Hip Hop Ride,2021-04-24 10:22 (-04),242,135,43%,79,28.89,14.45,432,151.31,,
2021-04-28,19:04,-04),30,Cycling,Music,30 min Hip Hop Ride,2021-04-22 02:24 (-04),240,133,44%,76,28.95,14.48,407,146.1,,
2021-04-29,18:57,-04),30,Cycling,Theme,30 min Turn It Up,2021-04-26 13:24 (-04),226,126,45%,73,28.13,14.07,419,148.5,,
2021-04-30,20:45,-04),5,Cycling,Warm Up/Cool Down,5 min AT's Ride to Greatness: Warm Up,2021-04-30 09:00 (-04),25,70,29%,87,21.9,1.96,45,102.24,,
2021-04-30,20:50,-04),20,Cycling,Music,20 min Pop Ride,2021-04-28 11:21 (-04),163,136,45%,77,29.16,9.72,291,152.39,,
2021-04-30,21:11,-04),5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,2021-04-29 09:00 (-04),30,100,38%,80,25.99,2.14,62,139.42,,
2021-05-01,17:29,-04),30,Cycling,Theme,30 min Sweat Steady Ride,2021-05-01 10:55 (-04),237,132,43%,79,29.03,14.52,423,144.68,,
2021-05-01,18:02,-04),5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-12-11 02:45 (-04),,,,,,,54,129.83,,
2021-05-02,14:39,-04),30,Cycling,Music,30 min EDM Ride,2021-05-02 05:54 (-04),235,130,45%,72,28.69,14.36,472,159.81,,
2021-05-02,15:12,-04),5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-06-15 10:00 (-04),,,,,,,56,131.88,,
2021-05-04,19:19,-04),5,Cycling,Warm Up/Cool Down,5 min AT's Ride to Greatness: Warm Up,2021-04-30 09:00 (-04),37,121,41%,77,27.68,2.32,57,132.38,,
2021-05-04,19:24,-04),20,Cycling,Music,20 min EDM Ride,2021-05-03 11:53 (-04),160,133,47%,70,28.82,9.62,295,153.67,,
2021-05-04,19:45,-04),5,Cycling,Warm Up/Cool Down,5 min AT's Ride to Greatness: Cool Down,2021-05-01 10:45 (-04),25,83,38%,71,23.95,1.96,63,141.13,,
2021-05-04,19:50,-04),5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2021-05-04 09:00 (-04),,,,,,,53,127.31,,
